title,description,narrative
Lagos ville información,Anything related to the data or facts about the city of Lagos,"A relevant document must be about the city of Lagos in Nigeria while a partially relevant document can be about the people, history, land etc. related to the city."
Water viviendo animaux,Anything related to the data or facts about marine animals,"A relevant document must be about animals living in water while partially relevant documents can state important facts about them including how they survive, their taxonomy, history related, etc."
guerres fought por Israel,Anything related to various wars fought by Israel.,A relevant document must be about a war in which Israel was involved while a partially relevant document can be about Israel in general.
Venezuela económica crise,Anything related to economic situation of Venezuela,A relevant document must be about the economic condition in Venezuela while a partially relevant document can be about Venezuela as a country.
le sports en Europe,Anything related to sports played across europe.,A relevant document would be about a particular sport/s played in Europe while partially relevant documents are abouts sports played across the world.
utilisation de medicinales plants,Any document holding information about medicinal plants.,A relevant document talks about a particular kind or a group of medicinal plants or information about medicinal plants in general. A partially relevant document will be about medicines in general.
cancer traitement en India,Any document holding information the various forms of treatment for cancer particularly in India.,A relevant document would be the different types of cancer treatment available in India. A partially relevant document would be about cancer as a disease.
populaire english películas,Any document listing out popular english movies.,A relevant document would be about popular english movies with popular reviews (according to me). A partially relevant document would be about movies/facts about movies.
progrès in Commonwealth países,Any document talking about Commonwealth nations.,A relevant document would be one that talks about progress in Commonwealth nations. A partially relevant document would be about the Commonwealth (including games).
tenis à Wimbledon,Any document that talks about Wimbledon.,A relevant document would be about Wimbledon or results at wimbledon while a partially relevant document would be about tennis in general.
